n_instances,request_rate,seed,policy,pdr,plr,e2e_ms
20,1.000,1,round_robin,0.629630,0.370370,153.837860
20,1.000,1,least_latency,0.803030,0.196970,26.132216
20,1.000,1,least_loaded,0.728723,0.271277,219.409241
20,1.000,1,fitness,0.860697,0.139303,23.557616
20,1.000,1,gso,0.771277,0.228723,121.645913
20,1.000,1,fitness_healing,0.860697,0.139303,23.557616
20,1.000,1,gso_healing,0.771277,0.228723,119.942722
20,1.000,2,round_robin,0.577465,0.422535,149.615542
20,1.000,2,least_latency,0.414365,0.585635,13.037506
20,1.000,2,least_loaded,0.909091,0.090909,154.664828
20,1.000,2,fitness,0.839024,0.160976,115.754250
20,1.000,2,gso,0.936508,0.063492,93.479047
20,1.000,2,fitness_healing,0.852381,0.147619,113.084518
20,1.000,2,gso_healing,0.886700,0.113300,100.655946
20,1.000,3,round_robin,0.672043,0.327957,128.493847
20,1.000,3,least_latency,0.430108,0.569892,16.772691
20,1.000,3,least_loaded,0.680000,0.320000,123.042250
20,1.000,3,fitness,0.658163,0.341837,103.036203
20,1.000,3,gso,0.850575,0.149425,53.001193
20,1.000,3,fitness_healing,0.721951,0.278049,111.261781
20,1.000,3,gso_healing,0.850575,0.149425,52.723799
20,1.000,4,round_robin,0.579487,0.420513,182.462403
20,1.000,4,least_latency,0.662100,0.337900,36.987597
20,1.000,4,least_loaded,0.607843,0.392157,71.598991
20,1.000,4,fitness,0.959184,0.040816,88.228010
20,1.000,4,gso,0.868421,0.131579,117.427361
20,1.000,4,fitness_healing,0.959184,0.040816,87.809636
20,1.000,4,gso_healing,0.859375,0.140625,119.109848
20,1.000,5,round_robin,0.578431,0.421569,128.987599
20,1.000,5,least_latency,0.507246,0.492754,17.365467
20,1.000,5,least_loaded,0.695652,0.304348,58.841108
20,1.000,5,fitness,0.872449,0.127551,135.877760
20,1.000,5,gso,0.828571,0.171429,67.663083
20,1.000,5,fitness_healing,0.872449,0.127551,135.877760
20,1.000,5,gso_healing,0.902062,0.097938,84.168259
