metric,policy,mean,std
pdr,round_robin,0.607411,0.037914
pdr,least_latency,0.563370,0.148523
pdr,least_loaded,0.724262,0.100511
pdr,fitness,0.837903,0.098722
pdr,gso,0.851070,0.053803
pdr,fitness_healing,0.853332,0.076008
pdr,gso_healing,0.853998,0.045306
plr,round_robin,0.392589,0.037914
plr,least_latency,0.436630,0.148523
plr,least_loaded,0.275738,0.100511
plr,fitness,0.162097,0.098722
plr,gso,0.148930,0.053803
plr,fitness_healing,0.146668,0.076008
plr,gso_healing,0.146002,0.045306
e2e_ms,round_robin,148.679450,19.819187
e2e_ms,least_latency,22.059095,8.611803
e2e_ms,least_loaded,125.511284,58.351177
e2e_ms,fitness,93.290768,38.214074
e2e_ms,gso,90.643319,26.950354
e2e_ms,fitness_healing,94.318262,38.512020
e2e_ms,gso_healing,95.320115,25.057954
